Dataset,Model,Accuracy,Precision,Recall,F1,ROC-AUC,MCC,Specificity
NSL_KDD,RandomForest,0.988,0.9906,0.9883,0.9895,0.9995,0.9756,0.9876
NSL_KDD,XGBoost,0.9876,0.9895,0.9887,0.9891,0.9996,0.9747,0.9861
NSL_KDD,LightGBM,0.9878,0.9902,0.9883,0.9893,0.9996,0.9751,0.9871
NSL_KDD,MLP,0.9769,0.9854,0.9739,0.9796,0.9972,0.9531,0.9809
NSL_KDD,StackingEnsemble,0.9876,0.9902,0.9879,0.9891,0.9996,0.9747,0.9871
KDDCup99,RandomForest,0.9998,1.0,0.9998,0.9999,1.0,0.9994,0.9999
KDDCup99,XGBoost,0.9999,1.0,0.9998,0.9999,1.0,0.9995,0.9999
KDDCup99,LightGBM,0.9998,1.0,0.9998,0.9999,1.0,0.9994,0.9999
KDDCup99,MLP,0.999,0.9999,0.9988,0.9994,1.0,0.9969,0.9996
KDDCup99,StackingEnsemble,0.9998,0.9999,0.9998,0.9999,1.0,0.9994,0.9997
Kaggle_NID,RandomForest,0.9974,0.9987,0.9957,0.9972,0.9999,0.9948,0.9989
Kaggle_NID,XGBoost,0.9976,0.9983,0.9966,0.9974,0.9998,0.9952,0.9985
Kaggle_NID,LightGBM,0.9974,0.9983,0.9962,0.9972,0.9997,0.9948,0.9985
Kaggle_NID,MLP,0.9853,0.9781,0.9906,0.9843,0.9919,0.9706,0.9807
Kaggle_NID,StackingEnsemble,0.9976,0.9983,0.9966,0.9974,0.9999,0.9952,0.9985
CIC_DDoS2019,RandomForest,0.999,0.9999,0.9988,0.9994,1.0,0.9972,0.9996
CIC_DDoS2019,XGBoost,0.9993,0.9998,0.9993,0.9996,1.0,0.9981,0.9994
CIC_DDoS2019,LightGBM,0.9994,0.9998,0.9994,0.9996,1.0,0.9982,0.9993
CIC_DDoS2019,MLP,0.97,0.9932,0.9678,0.9803,0.974,0.9183,0.9775
CIC_DDoS2019,StackingEnsemble,0.9993,0.9998,0.9993,0.9996,1.0,0.9981,0.9994
CIDDS_001,RandomForest,0.9999,0.9999,0.9999,0.9999,1.0,0.9997,0.9998
CIDDS_001,XGBoost,0.9999,0.9999,1.0,0.9999,1.0,0.9998,0.9998
CIDDS_001,LightGBM,0.9999,0.9999,1.0,0.9999,1.0,0.9997,0.9997
CIDDS_001,MLP,0.9993,0.9994,0.9996,0.9995,0.9999,0.9981,0.9982
CIDDS_001,StackingEnsemble,0.9999,0.9999,1.0,0.9999,1.0,0.9997,0.9997
DS2OS,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DS2OS,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DS2OS,LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DS2OS,MLP,0.9999,0.996,1.0,0.998,1.0,0.998,0.9999
DS2OS,StackingEnsemble,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LUFlow,RandomForest,0.9996,0.9995,0.9998,0.9996,1.0,0.9992,0.9994
LUFlow,XGBoost,0.9993,0.9993,0.9994,0.9994,1.0,0.9987,0.9993
LUFlow,LightGBM,0.9996,0.9997,0.9996,0.9996,1.0,0.9992,0.9996
LUFlow,MLP,0.998,0.9986,0.9976,0.9981,0.9999,0.996,0.9985
LUFlow,StackingEnsemble,0.9997,0.9997,0.9998,0.9997,1.0,0.9994,0.9996
NetworkLogs,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkLogs,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkLogs,LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkLogs,MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkLogs,StackingEnsemble,1.0,1.0,1.0,1.0,1.0,1.0,1.0
